dir,entry,sl,tp,size,bars,open_idx,open_time,buy_p,sell_p,result,pnl,close_idx,close_time,equity
buy,3654.9,3652.8064285714286,3657.6914285714283,5.339164532269826,0,19712,2025-09-19 14:05:00,0.353,0.642,sl,-11.18,19713,2025-09-19 14:10:00,1106.61
buy,3783.59,3778.394642857143,3790.517142857143,2.1300062324386877,14,20277,2025-09-23 15:35:00,0.258,0.714,sl,-11.07,20292,2025-09-23 16:50:00,1095.55
buy,3784.36,3778.842142857143,3791.7171428571432,1.9854594599774438,0,20293,2025-09-23 16:55:00,0.45,0.349,sl,-10.96,20294,2025-09-23 17:00:00,1084.59
sell,3766.34,3769.5060714285714,3762.1185714285716,3.4256734540425757,0,20548,2025-09-24 15:10:00,0.333,0.658,sl,-10.85,20549,2025-09-24 15:15:00,1073.75
sell,3760.79,3765.98,3753.87,2.0688762192667824,7,20567,2025-09-24 16:45:00,0.592,0.393,tp,14.32,20575,2025-09-24 17:25:00,1088.06
sell,3736.95,3740.163214285714,3732.6657142857143,3.386214813230302,6,20738,2025-09-25 08:00:00,0.565,0.43,sl,-10.88,20745,2025-09-25 08:35:00,1077.18
sell,3737.59,3743.0114285714285,3730.361428571429,1.986898348345538,9,20875,2025-09-25 19:25:00,0.584,0.293,sl,-10.77,20885,2025-09-25 20:15:00,1066.41
buy,3752.92,3748.9728571428573,3758.1828571428573,2.7017287150385063,4,21029,2025-09-26 09:15:00,0.25,0.589,sl,-10.66,21034,2025-09-26 09:40:00,1055.75
buy,3743.02,3738.0389285714286,3749.6614285714286,2.1195175092148615,10,21040,2025-09-26 10:10:00,0.348,0.56,tp,14.08,21051,2025-09-26 11:05:00,1069.82
buy,3816.24,3810.946071428571,3823.298571428571,2.020849772450363,1,21328,2025-09-29 11:10:00,0.335,0.653,sl,-10.7,21330,2025-09-29 11:20:00,1059.13
buy,3810.45,3806.573571428571,3815.618571428571,2.732219054289772,0,21353,2025-09-29 13:15:00,0.778,0.206,tp,14.12,21354,2025-09-29 13:20:00,1073.25
buy,3818.26,3812.0875,3826.4900000000002,1.7387555607706189,1,21383,2025-09-29 15:45:00,0.324,0.545,sl,-10.73,21385,2025-09-29 15:55:00,1062.51
buy,3820.24,3813.4567857142856,3829.2842857142855,1.566387786723096,10,21389,2025-09-29 16:15:00,0.288,0.506,tp,14.17,21400,2025-09-29 17:10:00,1076.68
buy,3828.93,3825.495,3833.5099999999998,3.134443260172746,4,21442,2025-09-29 20:40:00,0.385,0.61,sl,-10.77,21447,2025-09-29 21:05:00,1065.91
sell,3814.72,3819.9164285714282,3807.7914285714282,2.05124429715315,10,21649,2025-09-30 14:55:00,0.564,0.408,sl,-10.66,21660,2025-09-30 15:50:00,1055.26
sell,3817.0,3823.948214285714,3807.7357142857145,1.518743175448084,5,21664,2025-09-30 16:10:00,0.659,0.307,sl,-10.55,21670,2025-09-30 16:40:00,1044.7
buy,3863.2,3857.8203571428567,3870.372857142857,1.941955586108795,6,21830,2025-10-01 07:00:00,0.416,0.281,sl,-10.45,21837,2025-10-01 07:35:00,1034.26
buy,3884.76,3880.884642857143,3889.9271428571433,2.668801052771247,1,21918,2025-10-01 14:20:00,0.639,0.351,sl,-10.34,21920,2025-10-01 14:30:00,1023.91
buy,3883.12,3879.1514285714284,3888.4114285714286,2.5800547715430078,5,21923,2025-10-01 14:45:00,0.804,0.188,tp,13.65,21929,2025-10-01 15:15:00,1037.57
buy,3866.53,3864.2457142857143,3869.5757142857146,4.542187232072465,4,22118,2025-10-02 08:00:00,0.362,0.626,tp,13.83,22123,2025-10-02 08:25:00,1051.4
buy,3873.46,3869.003928571429,3879.4014285714284,2.3594764176878047,2,22144,2025-10-02 10:10:00,0.251,0.697,sl,-10.51,22147,2025-10-02 10:25:00,1040.89
sell,3845.57,3851.2464285714286,3838.0014285714287,1.833697960919544,15,22268,2025-10-02 20:30:00,0.483,0.279,sl,-10.41,22284,2025-10-02 21:50:00,1030.48
buy,3860.33,3855.6189285714286,3866.6114285714284,2.1873510300164156,9,22474,2025-10-03 14:40:00,0.329,0.421,tp,13.74,22484,2025-10-03 15:30:00,1044.22
buy,3925.46,3918.8364285714283,3934.2914285714287,1.5765156225657333,4,22688,2025-10-06 09:30:00,0.328,0.629,tp,13.92,22693,2025-10-06 09:55:00,1058.14
buy,3938.52,3933.6364285714285,3945.031428571429,2.166732449850307,4,22732,2025-10-06 13:10:00,0.328,0.635,tp,14.11,22737,2025-10-06 13:35:00,1072.25
buy,3974.97,3966.5517857142854,3986.1942857142853,1.2737235662258632,0,23079,2025-10-07 19:05:00,0.583,0.328,sl,-10.72,23080,2025-10-07 19:10:00,1061.53
buy,4037.91,4033.8546428571426,4043.3171428571427,2.6175877408819304,1,23305,2025-10-08 14:55:00,0.269,0.722,tp,14.15,23307,2025-10-08 15:05:00,1075.68
buy,4032.32,4026.0564285714286,4040.671428571429,1.7173572574799747,1,23523,2025-10-09 10:05:00,0.323,0.625,sl,-10.76,23525,2025-10-09 10:15:00,1064.92
buy,4027.55,4021.0239285714288,4036.2514285714287,1.6317967200715717,11,23525,2025-10-09 10:15:00,0.375,0.562,tp,14.2,23537,2025-10-09 11:15:00,1079.12
sell,3971.67,3976.605,3965.09,2.186669012791021,2,23780,2025-10-10 08:30:00,0.605,0.388,sl,-10.79,23783,2025-10-10 08:45:00,1068.33
buy,3990.64,3984.2017857142855,3999.2242857142855,1.6593575467109425,10,23856,2025-10-10 14:50:00,0.3,0.69,sl,-10.68,23867,2025-10-10 15:45:00,1057.65
sell,4137.57,4146.439285714286,4125.744285714285,1.1924823270360017,13,24369,2025-10-14 11:45:00,0.401,0.575,tp,14.1,24383,2025-10-14 12:55:00,1071.75
buy,4190.22,4180.097142857143,4203.717142857143,1.0587412100529388,0,24729,2025-10-15 18:45:00,0.573,0.256,sl,-10.72,24730,2025-10-15 18:50:00,1061.03
buy,4237.08,4229.588571428571,4247.068571428571,1.4163268139380214,5,24968,2025-10-16 15:40:00,0.322,0.656,tp,14.15,24974,2025-10-16 16:10:00,1075.18
buy,4248.45,4241.442857142857,4257.7928571428565,1.534403136212351,1,25437,2025-10-20 08:45:00,0.331,0.648,sl,-10.75,25439,2025-10-20 08:55:00,1064.43
buy,4105.5,4096.068214285714,4118.075714285714,1.128552373704426,1,26326,2025-10-23 13:50:00,0.532,0.3,tp,14.19,26328,2025-10-23 14:00:00,1078.62
buy,4117.86,4108.349999999999,4130.54,1.1341942879295897,10,26328,2025-10-23 14:00:00,0.578,0.316,sl,-10.79,26339,2025-10-23 14:55:00,1067.83
buy,4128.79,4121.608214285714,4138.365714285715,1.4868622131383362,11,26396,2025-10-23 19:40:00,0.259,0.734,sl,-10.68,26408,2025-10-23 22:35:00,1057.15
sell,4116.83,4123.142857142857,4108.412857142856,1.6746050645825292,2,26498,2025-10-24 07:05:00,0.242,0.751,tp,14.1,26501,2025-10-24 07:20:00,1071.25
sell,4079.81,4086.6510714285714,4070.6885714285713,1.5659091643529406,17,26793,2025-10-27 07:40:00,0.374,0.601,tp,14.28,26811,2025-10-27 09:10:00,1085.53
sell,4038.33,4047.1242857142856,4026.6042857142857,1.2343617301720484,2,26884,2025-10-27 15:15:00,0.42,0.522,tp,14.47,26887,2025-10-27 15:30:00,1100.01
sell,3996.83,4004.5753571428572,3986.502857142857,1.4202143628443744,0,26933,2025-10-27 19:20:00,0.403,0.554,sl,-11.0,26934,2025-10-27 19:25:00,1089.01
sell,4008.41,4016.378214285714,3997.785714285714,1.3666884943811206,10,26942,2025-10-27 20:05:00,0.554,0.428,tp,14.52,26953,2025-10-27 21:00:00,1103.53
buy,3956.84,3949.229642857143,3966.9871428571428,1.4500328261037707,25,27228,2025-10-28 20:55:00,0.342,0.648,sl,-11.04,27254,2025-10-29 00:05:00,1092.49
buy,4017.48,4010.7096428571426,4026.507142857143,1.6136393942358724,1,27421,2025-10-29 14:00:00,0.405,0.59,tp,14.57,27423,2025-10-29 14:10:00,1107.06
buy,4018.54,4009.572142857143,4030.497142857143,1.2344733369102983,1,27437,2025-10-29 15:20:00,0.298,0.49,sl,-11.07,27439,2025-10-29 15:30:00,1095.99
sell,3987.29,3997.889642857143,3973.157142857143,1.033985283699558,3,27496,2025-10-29 20:15:00,0.707,0.256,tp,14.61,27500,2025-10-29 20:35:00,1110.6
sell,3996.85,4003.651428571429,3987.7814285714285,1.6328931890035436,3,27891,2025-10-31 07:10:00,0.307,0.651,sl,-11.11,27895,2025-10-31 07:30:00,1099.49
sell,4009.48,4017.073214285714,3999.3557142857144,1.4479963177871178,12,27903,2025-10-31 08:10:00,0.192,0.793,sl,-10.99,27916,2025-10-31 09:15:00,1088.5
sell,4003.78,4011.2103571428574,3993.8728571428574,1.464935891148573,6,28053,2025-10-31 20:40:00,0.627,0.37,tp,14.51,28060,2025-10-31 21:15:00,1103.01
buy,4010.26,4002.9957142857143,4019.9457142857145,1.51840533095133,1,28268,2025-11-03 16:35:00,0.334,0.634,tp,14.71,28270,2025-11-03 16:45:00,1117.72
sell,3965.34,3973.2289285714287,3954.821428571429,1.416820859129213,13,28570,2025-11-04 18:45:00,0.551,0.408,tp,14.9,28584,2025-11-04 19:55:00,1132.62
buy,3969.86,3964.006785714286,3977.6642857142856,1.9350441171966315,3,28761,2025-11-05 11:40:00,0.361,0.613,sl,-11.33,28765,2025-11-05 12:00:00,1121.3
buy,3997.61,3992.9289285714285,4003.8514285714286,2.3953844248391887,2,29006,2025-11-06 09:05:00,0.487,0.339,tp,14.95,29009,2025-11-06 09:20:00,1136.25
